task_seed,split_seed,condition,train_loss_init,val_loss_init,train_loss,val_loss,train_improvement,val_improvement,improvement_gap,abs_improvement_gap,gap,abs_gap,drift,v_tr,v_val,meta_seed,beta_drift,beta_var
815460,983324,full_bqml_light,0.4793915792311617,0.5659798376552125,0.4535077708203052,0.5523680361040909,0.0258838084108565,0.0136118015511216,0.0122720068597348,0.0122720068597348,0.0988602652837857,0.0988602652837857,0.2097768413678416,0.0322994156976292,0.0262703489680543,3,0.2,5.0
145138,12472,full_bqml_light,0.5241244951998537,0.4355701416101264,0.5117869195310847,0.4252281178045189,0.012337575668769,0.0103420238056075,0.0019955518631614,0.0019955518631614,-0.0865588017265657,0.0865588017265657,0.1415404232034862,0.0350968690701276,0.036921160950598,3,0.2,5.0
524676,546695,full_bqml_light,0.4726287373810752,0.5600866593652212,0.4523694095839756,0.5535624757486802,0.0202593277970996,0.0065241836165409,0.0137351441805586,0.0137351441805586,0.1011930661647046,0.1011930661647046,0.1900772069514737,0.0351193922668356,0.0381578647166326,3,0.2,5.0
294508,702908,full_bqml_strong,0.5031261079047604,0.637141749208272,0.4861963685222183,0.6355473363548947,0.016929739382542,0.0015944128533773,0.0153353265291646,0.0153353265291646,0.1493509678326763,0.1493509678326763,0.1245194194459404,0.0270021198137994,0.0228727559508791,1,1.0,10.0
790429,150793,full_bqml_strong,0.6304122601682607,0.5196792795390354,0.6249338551250604,0.519417262371441,0.0054784050432002,0.0002620171675943,0.0052163878756059,0.0052163878756059,-0.1055165927536193,0.1055165927536193,0.0661348513760117,0.0307356027853609,0.0253784355782132,1,1.0,10.0
907568,91981,full_bqml_strong,0.5905733806091796,0.5298192081250892,0.5831540846003511,0.52650663389278,0.0074192960088285,0.0033125742323092,0.0041067217765192,0.0041067217765192,-0.0566474507075711,0.0566474507075711,0.0790529544426988,0.0322206596461728,0.032323334678078,1,1.0,10.0
992075,903876,full_bqml_strong,0.5582547549671516,0.5173189454725104,0.5470712170907913,0.5137658512544099,0.0111835378763602,0.0035530942181005,0.0076304436582597,0.0076304436582597,-0.0333053658363814,0.0333053658363814,0.0990264086718704,0.0289789952259441,0.0247168548945268,1,1.0,10.0
847592,426842,full_bqml_strong,0.6014670576019752,0.5177068458370411,0.5882606299803561,0.5135297162307214,0.013206427621619,0.0041771296063196,0.0090292980152993,0.0090292980152993,-0.0747309137496347,0.0747309137496347,0.1032431076625313,0.0206285970180706,0.0312669356283662,1,1.0,10.0
958981,66949,full_bqml_strong,0.639548657275337,0.4815019915606022,0.6303519219630344,0.4822331649985731,0.0091967353123026,-0.0007311734379708,0.0099279087502735,0.0099279087502735,-0.1481187569644612,0.1481187569644612,0.076421580395898,0.027510089133078,0.0234907829713448,1,1.0,10.0
254382,91509,full_bqml_strong,0.5487127814116924,0.6177415133243914,0.5401438618683458,0.6240561317765062,0.0085689195433465,-0.0063146184521147,0.0148835379954613,0.0148835379954613,0.0839122699081603,0.0839122699081603,0.0937696073738906,0.0274870588249083,0.0369671125867403,1,1.0,10.0
878927,752563,full_bqml_strong,0.6330153507363803,0.540660544272856,0.6205069177463753,0.5378534837084364,0.0125084329900049,0.0028070605644195,0.0097013724255853,0.0097013724255853,-0.0826534340379389,0.0826534340379389,0.0977632907635505,0.0260499482190043,0.0243976852234511,1,1.0,10.0
841001,846326,full_bqml_strong,0.541012709348663,0.6091781885991168,0.528348517503558,0.6028909279320259,0.0126641918451049,0.0062872606670908,0.006376931178014,0.006376931178014,0.0745424104284678,0.0745424104284678,0.1027903025757893,0.0288443689409062,0.0221813922637383,1,1.0,10.0
664645,652885,full_bqml_strong,0.5790966061476592,0.5814533320953775,0.5704294010723071,0.5839392955314241,0.0086672050753521,-0.0024859634360465,0.0111531685113986,0.0111531685113986,0.0135098944591169,0.0135098944591169,0.0806250085541407,0.026248108433319,0.0374740124743035,1,1.0,10.0
797944,927820,full_bqml_strong,0.5961597562421291,0.5662952884883354,0.5861854327103405,0.5602369104369866,0.0099743235317886,0.0060583780513487,0.0039159454804398,0.0039159454804398,-0.0259485222733538,0.0259485222733538,0.0894000821521133,0.0261576747947431,0.0297879158476181,1,1.0,10.0
118200,184246,full_bqml_strong,0.6382900348524764,0.5281126440270191,0.6289513972664147,0.5293912776305499,0.0093386375860616,-0.0012786336035308,0.0106172711895925,0.0106172711895925,-0.0995601196358647,0.0995601196358647,0.0838272915405742,0.0266454187736627,0.0323747597763664,1,1.0,10.0
891400,659216,full_bqml_strong,0.5676813069610834,0.6208377860020663,0.5567480719369684,0.6192060522702888,0.010933235024115,0.0016317337317774,0.0093015012923375,0.0093015012923375,0.0624579803333203,0.0624579803333203,0.0977207467992838,0.027021412707569,0.0362432670895461,1,1.0,10.0
958026,85569,full_bqml_strong,0.5903988932729177,0.5074543514965628,0.5818926685290859,0.5048399391923963,0.0085062247438317,0.0026144123041664,0.0058918124396653,0.0058918124396653,-0.0770527293366896,0.0770527293366896,0.0889511126859674,0.0309523980964751,0.0266338023886045,1,1.0,10.0
662154,111036,full_bqml_strong,0.5973437462176928,0.5704719606815768,0.5891971839584785,0.5717358619282165,0.0081465622592142,-0.0012639012466396,0.0094104635058539,0.0094104635058539,-0.017461322030262,0.017461322030262,0.08544879688306,0.0299388772543134,0.0251298672098754,1,1.0,10.0
440188,538774,full_bqml_strong,0.612088252309111,0.5745315802229221,0.6086157382413321,0.5718172359557793,0.0034725140677789,0.0027143442671427,0.0007581698006361,0.0007581698006361,-0.0367985022855528,0.0367985022855528,0.0534974428842754,0.0251167119673792,0.0357728748395735,1,1.0,10.0
246700,657403,full_bqml_strong,0.6360136966559908,0.4723121930770989,0.6256599691771836,0.4734327145725709,0.0103537274788072,-0.001120521495472,0.0114742489742792,0.0114742489742792,-0.1522272546046126,0.1522272546046126,0.0863233058483364,0.0270052438839234,0.0320073743572556,1,1.0,10.0
340383,597591,full_bqml_strong,0.5335522426513237,0.6513132396652551,0.5254426314798551,0.6474098167799752,0.0081096111714685,0.0039034228852798,0.0042061882861886,0.0042061882861886,0.12196718530012,0.12196718530012,0.088260019431315,0.0327836702644529,0.0260055124889527,1,1.0,10.0
61425,51499,full_bqml_strong,0.5670572760081097,0.6391225356532493,0.5573180506182779,0.636806841904392,0.0097392253898318,0.0023156937488573,0.0074235316409745,0.0074235316409745,0.079488791286114,0.079488791286114,0.0877868877785531,0.0291580227996473,0.0249056173603179,1,1.0,10.0
258925,589042,full_bqml_strong,0.5387116806931302,0.5773489749188948,0.5349008549522539,0.5733868559119089,0.0038108257408763,0.0039621190069859,-0.0001512932661096,0.0001512932661096,0.0384860009596549,0.0384860009596549,0.058050569232909,0.0242549491029254,0.0401455049876471,1,1.0,10.0
439889,168313,full_bqml_strong,0.591004888337145,0.551672235953117,0.5871818047385607,0.5535184306442664,0.0038230835985842,-0.0018461946911494,0.0056692782897337,0.0056692782897337,-0.0336633740942943,0.0336633740942943,0.0567684585080746,0.0312188914533849,0.0373024263057489,1,1.0,10.0
395608,287800,full_bqml_strong,0.5921172462148899,0.579978932303943,0.5809693665213371,0.5784590953449953,0.0111478796935527,0.0015198369589477,0.009628042734605,0.009628042734605,-0.0025102711763418,0.0025102711763418,0.1010919834715436,0.031584786575244,0.0247233656679865,1,1.0,10.0
58795,292770,full_bqml_strong,0.5196734372113176,0.700078431507664,0.5131306917911477,0.6979033379261336,0.0065427454201699,0.0021750935815304,0.0043676518386395,0.0043676518386395,0.1847726461349859,0.1847726461349859,0.0868724520885969,0.0248545897257181,0.0422486673133039,1,1.0,10.0
321145,394937,full_bqml_strong,0.6216610506045263,0.5496173209797617,0.6152773729454657,0.5485225988382811,0.0063836776590605,0.0010947221414805,0.00528895551758,0.00528895551758,-0.0667547741071845,0.0667547741071845,0.0648341838177358,0.026635308281377,0.0257807188650801,1,1.0,10.0
549370,460523,full_bqml_strong,0.5507887271518087,0.5786046900363021,0.5385613082605689,0.5773860710926576,0.0122274188912397,0.0012186189436445,0.0110087999475952,0.0110087999475952,0.0388247628320886,0.0388247628320886,0.1043751320734697,0.0305275331581927,0.029475239206805,1,1.0,10.0
241379,127247,full_bqml_strong,0.6147628777524219,0.5019231597321049,0.6026468593018806,0.5037976371452596,0.0121160184505413,-0.0018744774131547,0.013990495863696,0.013990495863696,-0.0988492221566209,0.0988492221566209,0.0977810574840792,0.0301274719793513,0.0308645942885329,1,1.0,10.0
461500,52051,full_bqml_strong,0.5660729291331039,0.6367875675971959,0.549206638235239,0.6447811658724567,0.0168662908978649,-0.0079935982752608,0.0248598891731257,0.0248598891731257,0.0955745276372177,0.0955745276372177,0.1239882320556568,0.0288251350071333,0.0426234030438462,1,1.0,10.0
296365,266862,full_bqml_strong,0.5662969873926401,0.5775596006756328,0.5545315489762792,0.579033717548379,0.0117654384163609,-0.0014741168727461,0.013239555289107,0.013239555289107,0.0245021685720997,0.0245021685720997,0.0999048159871036,0.0290094125022616,0.0315167021934578,1,1.0,10.0
66120,722898,full_bqml_strong,0.5976912555151052,0.615121925755577,0.5892324452056473,0.6122307364990012,0.0084588103094578,0.0028911892565758,0.0055676210528819,0.0055676210528819,0.0229982912933538,0.0229982912933538,0.0856563123008854,0.0377913024221897,0.024171603312306,1,1.0,10.0
