task,norm_gtr,norm_gval,align,IP,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,G,drift,seed,L,n
13,0.3101592286109654,0.2557261391648123,0.473133932246337,0.03752700678013421,0.0028752738037390625,-0.3447031656552718,0.13676113738905932,-0.07207221108315183,0.3475784394590109,0.20883334847221113,0.27263095457212,1.277240820187773,1,3,6
14,0.16010011227062992,0.24670229974083244,0.9010504060204569,0.03558884725313385,-0.06036933405821471,-0.1303869294388769,-0.10124881018912882,-0.21669955766891416,0.07001759538066218,0.11545074747978534,-0.08631262823003727,0.5760282641074038,1,3,6
15,0.23041398013686842,0.28144057700381325,0.4487661653743531,0.02910151806902659,0.47885235066923715,0.15115148910567133,-0.23407653417817692,-0.16692081736088238,0.3277008615635658,-0.06715571681729454,-0.3180723064665537,1.2611125065385775,1,3,6
16,0.08828546524005847,0.5571131876586395,0.47699122837405983,0.023460812119344514,0.024399061596142167,-0.008568853698828767,0.15104577695685917,0.03346028699479847,0.03296791529497094,0.1175854899620607,0.04202914069362724,0.4000204453009078,1,3,6
17,0.17055173468839488,0.48127006720571675,-0.9325522941675181,-0.07654523967131205,-0.006741900422227396,-0.10746617844181477,0.21738240805560682,0.4205921979759053,0.10072427801958737,-0.20320978992029848,0.52805837641772,0.681604324364216,1,3,6
18,0.14364176465821696,0.13637171622024538,-0.7397813339535776,-0.014491335357944673,0.011716866511945643,-0.08350203513407767,-0.0159992401609299,0.024562335844575775,0.09521890164602331,-0.040561576005505674,0.10806437097865344,0.6774034821925937,1,3,6
19,0.08918309085788864,0.24187107821034795,0.7007159952976479,0.015115011839522975,0.25216280015964415,0.16071028920168956,-0.03887781499902637,-0.11028990203748773,0.09145251095795459,0.07141208703846136,-0.2710001912391773,0.6418172851179366,1,3,6
20,0.07037160081367301,0.11084360177840798,0.634403952018896,0.004948504159342733,-0.26250115464614354,-0.2732229317422367,-0.5287757650820042,-0.5362048029222417,0.010721777096093177,0.007429037840237518,-0.262981871180005,0.22607670712938746,1,3,6
21,0.18552795529847962,0.12450388514325952,-0.11153558203579668,-0.002576354970673838,0.13320185608862897,-0.10919480235377203,-0.19172945233404234,-0.19363980924485125,0.242396658442401,0.0019103569108089025,-0.08444500689107921,1.0796249678048804,1,3,6
22,0.23606610285493818,0.29364207111321006,0.18901226842678465,0.013102129973740545,-0.2233957686028869,-0.48583820106482456,0.24714023320143644,0.1274395316487948,0.26244243246193766,0.11970070155264165,0.6132777327136194,1.105006272792438,1,3,6
23,0.22465803240767324,0.4535375102232395,-0.9257067690516637,-0.09432104461525138,-0.1500606597517712,-0.3601364323927145,-0.15540299284250508,0.17248253439747727,0.21007577264094326,-0.3278855272399823,0.5326189667901917,1.0108322812167534,1,3,6
24,0.21151826962324854,0.38001287596397376,0.5526698279989222,0.044423416159869535,0.30954156347542383,0.008158496553975311,0.022025723855239474,-0.20631720097306575,0.3013830669214485,0.2283429248283052,-0.21447569752704104,1.1904003535392078,1,3,6
