n,L,task,norm_gtr,norm_gval,align,gtr1,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,I_val_K1,G,drift,seed
4,2,23,0.19205222228962146,0.48948026871078343,0.17843657369375698,0.0192683165785661,-0.001580944976570936,-0.23959389185898208,-0.14237083450589094,-0.16683514644285424,0.23801294688241115,0.0244643119369633,0.007548001530543941,0.07275874541612784,1.0598039837172233,0
4,2,24,0.5743304094249385,0.4411530965275411,0.5228741512016627,0.026038407737379383,-0.0285254885962459,-0.5762037875189623,-0.24862826844593022,-0.24327979435359265,0.5476782989227164,-0.005348474092337574,0.05374139444326487,0.33292399316536964,1.3597640651524208,0
4,2,25,0.1961408111309149,0.5460560055329358,0.2694880410160697,0.010653622797845182,-0.1745900241629209,-0.4028918229261793,0.031198482724670285,-0.1860702973368767,0.2283017987632584,0.21726878006154698,0.014034275742021159,0.21682152558930262,1.0562653098488508,0
4,2,26,0.34487656404826317,0.41600176841363534,-0.41889238423346914,-0.028947337757242713,0.1700885024511277,-0.23339458899059856,-0.46286255514431096,-0.2238175757298822,0.4034830914417262,-0.23904497941442876,-0.03367466189275059,0.00957701326071636,1.3363812151259344,0
4,2,27,0.36369487597573635,0.6316293331388044,-0.7891625137488969,-0.028627924221876273,-0.178107506236288,-0.4666060127418568,0.40277283236717915,0.7579795458645101,0.28849850650556885,-0.35520671349733096,-0.0865650174918407,1.224585558606367,1.1271045922604355,0
4,2,28,0.38246868581879884,0.5859038549217994,0.05236839872678626,-0.0198781864913085,0.01902932761571373,-0.36101507546452233,0.5034097492342983,0.4045780683355043,0.38004440308023607,0.09883168089879396,0.008816908256100708,0.7655931438000266,1.323046738686333,0
4,2,29,0.3415013843361688,0.6267595072837069,0.020125205628425378,0.00298354711453927,-0.11944470162734756,-0.5873161008513692,-0.23080172834111323,-0.3446695128773038,0.46787139922402166,0.11386778453619056,0.000508589116771041,0.2426465879740654,1.4985271857154603,0
4,2,30,0.28461457876427665,0.5980722603409483,0.39351421297175593,-0.023395775035654882,0.0861991896600403,-0.22179691746167302,0.36030330205369054,-0.16583333684979693,0.3079961071217133,0.5261366389034875,0.03548535109963724,0.05596358061187609,1.2150156222188586,0
4,2,31,0.4546820020038953,0.6457537255757175,-0.009476272586726583,0.06335012742650968,-0.16835820860434247,-0.4319618510451517,-0.14248900153572508,-0.23744766537273673,0.26360364244080925,0.09495866383701165,-0.004724594105446067,0.194514185672415,0.9699831661199283,0
4,2,32,0.3121131787123379,0.42031133345870436,-0.5228410578392273,0.1002367940213929,-0.30706895466565326,-0.5721755175210864,0.32481461134121503,0.49626477283110687,0.26510656285543316,-0.17145016148989184,-0.034486933497608785,1.0684402903521932,1.1136369225349925,0
4,2,33,0.22301957695946936,0.5735333803736113,0.8860515155182718,0.015048403301599251,-0.022550261328817586,-0.20832544713926363,-0.007963434657391823,-0.3869449943929947,0.18577518581044605,0.3789815597356029,0.05671132583138401,-0.17861954725373105,0.927926682560606,0
4,2,34,0.3659982146049059,0.8471477845438461,0.1155306597513401,-0.07848524594762235,0.39846408342568684,-0.3346582677597403,-0.21668089538240742,0.0552759444728255,0.7331223511854271,-0.27195683985523295,0.012245412376891973,0.3899342122325658,1.81900388808853,0
4,2,35,0.45965048158823374,0.21565111968495218,-0.20123457430824931,0.031519393470010315,-0.2455825120934689,-0.5875688005773811,-0.12401096199376899,0.12937587114635635,0.3419862884839122,-0.25338683314012533,-0.02194948201639821,0.7169446717237375,1.1212655542824272,0
4,2,36,0.30979081776837514,0.6407333669372056,0.40065902822086874,-0.02200151729907734,0.1722470564040799,-0.22866925476003364,-0.032161172633709614,-0.37535405585226794,0.4009163111641135,0.34319288321855834,0.03876356430368014,-0.1466848010922343,1.3279921795273637,0
4,2,37,0.11089668410692251,0.21927414544609491,0.07545566761413403,-0.0534177146630483,0.12447860417960808,-0.05883362090306776,-0.12919227826502555,-0.14810698347784373,0.18331222508267586,0.018914705212818184,0.0010030477374241842,-0.08927336257477597,0.8778287398040723,0
4,2,38,0.4045692695468192,0.7262527522838064,-0.3259350276770265,-0.06658189442149182,0.3345161603636687,-0.2500048666185656,-0.23130169890485222,-0.16779898312351949,0.5845210269822343,-0.06350271578133274,-0.048326171408278745,0.0822058834950461,1.6212816879082308,0
4,2,39,0.20579980174614196,0.5455655438836905,0.4752600728693032,0.03202304879499189,-0.30091634788051425,-0.44038600180061016,-0.02616921512014482,-0.11272296192665948,0.13946965392009592,0.08655374680651466,0.02482806709352399,0.3276630398739507,0.8267036724935732,0
4,2,40,0.488848167704345,0.44695857223990404,-0.443370977614143,-0.022719755014292544,-0.01923469680646146,-0.5262562423725536,-0.22000328467763244,0.03106997876223646,0.5070215455660921,-0.2510732634398689,-0.04880610161557006,0.5573262211347901,1.4609249761251684,0
4,2,41,0.4382126223627364,0.6033276907313335,0.05439913090021878,0.04503827875828162,-0.057862222169821675,-0.3857369673721417,0.08767953416488,0.09123993129764177,0.32787474520232,-0.0035603971327617667,0.004684075146764138,0.47697689866978343,1.1165324751029804,0
4,2,42,0.29681113895400657,0.2980961980400246,-0.18860931770217093,-0.05587090898153759,0.22578497125551672,-0.5396202979527754,0.2716291131797922,0.3974069287342732,0.7654052692082922,-0.12577781555448098,-0.009507699937184366,0.9370272266870486,1.8997039805624838,0
4,2,43,0.5471458798606982,0.33249098701530716,-0.12072711750498644,0.09032723107325549,-0.08043714989697179,-0.5328438387127876,-0.29571246264370027,-0.16969212904985906,0.4524066888158158,-0.1260203335938412,-0.015895735853852788,0.36315170966292853,1.236225405355864,0
4,2,44,0.12542094574598742,0.6891689779871268,-0.12323848727577345,-0.06421609789890911,0.25869115662653186,0.12088147441183626,-0.07669971823142788,0.09212227559050158,0.13780968221469558,-0.16882199382192947,-0.005625363404310968,-0.02875919882133468,0.7847631979044478,0
4,2,45,0.19594467396007142,0.4895398154910933,-0.4228274975284282,0.02956934757282311,-0.30961114252990807,-0.45515408402133384,-0.26945465828160825,0.020686291208416245,0.14554294149142577,-0.2901409494900245,-0.021916734832807983,0.4758403752297501,0.8491126744103817,0
4,2,46,0.4051513407728998,0.6292697671795319,0.25086892587371873,0.025816773051637827,-0.12863597719460287,-0.33516109198559957,0.0544411696068407,-0.17508797129960857,0.2065251147909967,0.22952914090644927,0.03178221705622089,0.160073120685991,0.8650523417318781,0
4,2,47,0.354740444319714,0.6107663160048565,-0.07962878645782061,-0.042476023247562805,-0.03672130356796926,-0.3178008014190248,-0.3230417298623331,-0.2220123743494979,0.2810794978510555,-0.1010293555128352,-0.017529448403512282,0.0957884270695269,1.0773393663747106,0
4,2,48,0.44287685092248724,0.5130707391955541,-0.28744347496113765,-0.06504715616396153,0.08431756610121605,-0.47641759150743845,-0.04053592354523325,0.04002455423985251,0.5607351576086546,-0.08056047778508577,-0.03157566360497308,0.516442145747291,1.53655588538727,0
4,2,49,0.17363685894835826,0.4763956094373278,0.8582264279461934,-0.04144548518806965,-0.04085760380620536,-0.18063400925830084,0.08859651777400337,-0.19813634822046156,0.13977640545209546,0.2867328659944649,0.03528358832321829,-0.01750233896216072,0.8333119841034035,0
4,2,0,0.4045759112443199,0.42610688447765904,-0.11623929412734033,0.018376354704138443,-0.02885825784695955,-0.445382439010739,0.08548768732422296,0.19349353489254922,0.41652418116377943,-0.10800584756832626,-0.012069386307333549,0.6388759739032882,1.3199907032976006,1
4,2,1,0.35236999600068203,0.6049152318443756,0.3269855106087943,0.026631285202844978,0.046906899144494765,-0.38893530113353725,0.43385214046152654,0.27132248943956017,0.435842200278032,0.16252965102196637,0.035013808031464755,0.6602577905730974,1.3908836581667612,1
4,2,2,0.5926708155203838,0.30617997706674427,-0.10326772277293353,-0.08238202100850697,0.00967284892622855,-0.48093673206051674,-0.042287796578379305,0.07372498479093512,0.4906095809867453,-0.11601278136931442,-0.011405700308847175,0.5546617168514518,1.2883271516591883,1
4,2,3,0.5335843790494398,0.5255293004802376,-0.1267908357771156,-0.06562287118798787,0.00521821981134021,-0.40342527357369207,0.07388311095236008,0.31170373597200834,0.40864349338503225,-0.23782062501964826,-0.019392514793719548,0.7151290095457004,1.16468931154787,1
